question,response
How many incorrect attempts at the password can be made before the connection button locks?,5
What happens if you forget your password after connecting to the system for the first time?,The system will redirect you to the page for changing the password for security purposes
What happens when you click the 'inscription' button?,A popup appears that allows you to write a code which will be sent by SMS or email
How can you send the code after clicking the 'inscription' button?,By SMS or email
What is the purpose of writing the code in the popup,To be sent by SMS or email
Is there a specific method for sending the code after clicking the 'inscription' button?,"Yes, you can send it by SMS or email"
What is displayed when you click the 'inscription' button?,A popup
How can I create a new account?,Il y a aussi autre méthode d’inscription à travers un compte Facebook en cliquant sur “Inscription avec Facebook” ou à travers un compte Google en cliquant sur “Inscription avec Google”.
What happens if my email is already used by another user?,"Pour créer un nouveau compte que ce soit client ou partenaire il faut que l’email doit être unique, sinon le système va refuser la création du compte tant qu’il existe un autre utilisateur qui utilise le même e-mail et un message d’erreur sera affiché."
How long is an account active before being automatically disconnected?,"Tant que l’utilisateur est inactif plus que 10 minutes, le compte est déconnecté automatiquement."
How can I change my password?,"Pour changer le mot de passe il suffit d’accéder à votre espace et choisir dans le menu “Changer mot de passe” puis un formulaire sera affiché qui contient trois champs à remplir: Mot de passe actuel, Nouveau mot de passe (le mot de passe doit comporter au moins 8 caractères et contenir des majuscules et des caractères spéciaux sinon le système verra refuser le changement et affichera un message)."
How do I confirm my new password?,Confirmer le nouveau mot de passe.
What is the purpose of the provided interface?,The purpose of this interface is to contain various forms for users
What types of information can be inputted in the forms?,"The forms include fields for name, first name, telephone number, email address, subject, and message"
Is there a submit button available in the interface?,"Yes, there is a 'Envoyer' (Send) button available"
What additional content is present on this interface?,The interface also contains information about the presented brand and logos
What type of page is described in the provided text?,The page being described is a 'Page contact concessionnaire' (Contact Page for Dealership)
What is the address field for in the guide?,For storing vehicle information
How can you access the blog?,By clicking on 'Actualités' or by viewing the list of blogs in the section 'Actualités / Blog'
What does the 'afficher plus' button do?,It redirects the user to a page containing all actualities and blogs
What information does each blog typically consist of?,"An image, title, description, and date of publication"
How many pages are in total?,35
What feature allows users to choose a vehicle to simulate?,"Permet aux utilisateurs de choisir une voiture à simuler, en sélectionnant : Marque, Modèle, Version, Bouton simuler"
What options are available for users to select when choosing a vehicle to simulate?,"Marque, Modèle, Version"
What is the result of clicking the 'Simuler' button?,Le clic sur le bouton simuler redirige l’internaute vers la page simulateur
What is the purpose of the 'PopUp simulateur'?,"Permet aux utilisateurs de choisir une voiture à simuler, en sélectionnant : Marque, Modèle, Version, Bouton simuler"
Is there a specific page associated with the simulation process?,Oui (Page simulateur)
What is the purpose of the 'Bouton de sélection'?,To consult a simulation of the selected vehicle
"What type of user can select from ('Particulier', 'Professionnel', or 'Entreprise')?",The internaut (internet user)
What is the purpose of the 'Apport propre' field?,To specify the personal contribution
What is the purpose of the 'La prime d’assurance vie dépend de l’âge' field?,To input the age for life insurance premium calculation
What type of vehicle usage can be simulated?,Private or utility (with Zitouna Takaful)
What are the main sections to consider when using the guide?,"Dont apport, Durée, Loyer (prix par mois), Coût totale de financement, Dont frais de dossier, Prime d’assurance"
What happens when you click on the 'Suivant' button?,"If you are connected, it redirects the client to the next page; otherwise, it asks the user to log in"
How do I access the Simulator?,You can access the Simulator by clicking on 'Simulateur' from the horizontal menu above each page
What information is required for the vehicle simulation?,"Marque, modèle, version, article"
How do I fill in the remaining fields when using the Simulator?,The system will fill them in automatically
What happens when the user clicks the 'acheter' button?,The user must connect to continue the purchase procedure.
What is the purpose of the 'Financer' button?,To access the simulator directly and have the car details filled in automatically.
What happens when the user clicks the 'annuler' button?,The simulator is reset to its initial state.
How does the premium insurance impact the buyer's loan?,It has no impact on the buyer's loan.
What determines the apport propre percentage in the Mourabaha Particulier process?,"The apport propre is calculated based on the power of the vehicle, with different percentages applying to vehicles with 4CV, between 5CV-8CV, and above 9CV."
What is the formula for calculating the MontantFinancement?,PrixAcquisition(PA)-ApportPropre(Auto-financement)
How is MargeGlobale calculated?,"MargedeProfitAnnualisé(MPA) selon Produit, Durée d'assurance et Durée de remboursement par an"
What is the formula for calculating PrixdeVente?,(MontantFinancement(MtFin)x(1+MargeGlobale(MG)en%)+Apport Propres)
How is Mensualité calculated?,(PrixdeVente(PV)-Apport Propres)/(Durée de Financement(DF)x12 mois)
What is the minimum Apport Propre required?,30% du prix de la voiture
What type of insurance is considered in the simulator?,Tout risque
How does the prime d'assurance impact the loyer and type of assurance?,The prime d'assurance has an impact on the loyer and the type of assurance is uniquely Tout risque.
What formula calculates BaseLocativeenHT,"(MontantduBienouService)/1,19)-ApportPropre/1,19"
How does the simulator calculate Marge Globale (MG) and PrixdeVente (PV),"Marge Globale (MG) = Marge de Profit Annualisé (MPA ‘Pro’) selon Produit et Durée de Remboursement x Durée de Remboursement (DR) par an, Prix de Vente (PV) = BaseLocativeenHT x (1+MargeGlobale(MG) en %)+Apport Propres/1er Loyer."
How is Loyermensuel (Lm) calculated in the simulator,(Prix de Vente (PV) - Apport Propres) / (Durée de Financement(DF)x12 mois)
What type of insurance is applicable in this case?,Tout risque
How is the prime d'assurance calculated and what impact does it have on the loyer?,"The prime d'assurance has an impact on the loyer, and it's calculated uniquely as Tout risque."
What is the formula for calculating Base Locative en HT?,((Montant du Bien ou Service) / 1.19) - Apport Propre / 1.19
How is Marge Globale (MG) calculated?,Margede Profit Annualisé (MPA 'Entreprise) selon Produit
What is the formula for calculating Loyer Mensuel à afficher?,L4 + L5 (Loyer Mensuel (Lm) en HT + Primetakaful)
What types of usage options are available for clients?,Private or utilitarian
How does the insurance tariff depend on variables?,"Type of usage, type of assurance, puissance fiscale and type franchise"
What is the range of puissance fiscale options available?,4CV to 15CV ET+
What are the possible types of franchise options?,"0%, 2% or 4%"
What factors influence the insurance tariff?,"Type of usage, type of assurance and puissance fiscale"
What is the age range for which the client's profile can be accessed by the user?,The age range is from 18 to 69.
Is it possible to modify the birthdate of a client with an existing profile?,"Yes, the birthdate can be modified directly."
What are the conditions for launching a request?,The eligibility depends on the age of the client (from 18 to 69).
What is the maximum duration of payment for clients aged 63-69?,The maximum duration is calculated using the following formula: Age of the client + chosen repayment period <= 70.
"For a simulator assurance, what is the duration range for clients aged 66 and older?",Clients aged 66 have the right to choose a repayment duration between 1 and 4 years.
What are the main sections of the Guide d'Utilisation?,"The main sections include 'Vehicule', 'Mes documents', and more"
Is there a section for electronic appliances in the guide?,"Yes, there is a section called 'Electroménager'"
Can you schedule appointments with the Guide d'Utilisation?,"No, there is no such option"
How do you log out of the guide?,You can 'Déconnexion'
Who should you contact for assistance with the guide?,You can 'Contacter un chargé'
What is the purpose of the 'Simulateur' feature?,to simulate navigation in a simulated space
How can you access your previous simulations?,through the 'Mes dernièressimulations' section
What does the 'Etat d'avancement devos financements' feature display?,the status of each store's financing advancement
How can you view your upcoming appointments?,through the 'Mes rendez-vous' section
What happens when a client receives a notification?,they are redirected to the page corresponding to the notification
What is required to update personal information?,Click on 'Mon profil'
Where can you find the profile page?,Véhicule
What is the purpose of the profile page?,Pour permettre à jour les informations personnelles
What is displayed on the 'Véhicule' page?,Profile page
What number appears on the page?,52
What is the purpose of the 'Changer mot de passe' feature?,permet d'écrire le mot de passe actuel ou nouveau
How many characters are allowed in a new password,chiffres et au moins une lettre minuscule ou majuscule
What is the purpose of the 'Enregistrer les changements' button?,un popUp de confirmation s'affiche
What is required to add a financing request,se connecter avec un compte client
What step must be completed for the first-time financement request,l'étape relation Client
What are the options for vehicle identification?,"Matricule fiscal, CIN, Registre de commerce, Identifiant Unique, and Identifiant client"
What should the client do if they cannot choose a type of identification?,The client should follow the subsequent steps
How can the client finance their vehicle,By choosing la voiture after the offers and clicking on 'Financer'
Where can the client access their financing options,In the Véhicule: Mes financement section
How can the client request a financing option,By clicking on the 'Demande de financement' button
What information does a client need to fill out for a vehicle guide?,"Marque, Modèle, and Version"
What is the first piece of information a client needs to provide for their vehicle guide?,Marque
How many fields does a client need to complete for a vehicle guide?,"Three (Marque, Modèle, and Version)"
What is the name of the document being referred to in this guide?,Véhicule
What type of document is this guide for?,Vehicle
What is the purpose of this guide?,store véhicule
Is this a user manual for vehicles?,oui
What type of content is described in the guide?,store véhicule
Is this document related to vehicle storage?,yes
What does the guide provide information about?,vehicle store
What is required to be done after clicking the confirm button?,One must choose the number of the account
What is the expected action after clicking the confirm button?,Choosing the number of the account
What is the specific task to be performed after confirmation?,Selecting the account number
How does one proceed after confirming?,By choosing the account number (58)
What action follows clicking the confirm button and selecting the account number?,Choosing the account number (58)
What is required to download?,all requested documents
Why is downloading necessary?,because it's necessary to download all the documents demanded
What should you do first?,you should download all the documents demanded
What type of content is being referred to?,vehicle-related content
What is the purpose of downloading?,it's necessary to download all the documents
What happens when you click the 'j'en profite' option?,A pop-up confirmation of demand addition is displayed
Where are demands taken in this system?,Demands are taken in BackOffice
What is the purpose of the 'j'en profite' option?,The 'j'en profite' option triggers a demand addition
Is there any visual confirmation after adding a demand?,"Yes, a pop-up deconfirmation of demand addition is displayed"
What is the purpose of the pop-up deconfirmation?,The pop-up deconfirmation confirms the addition of demands in BackOffice
What is the purpose of this guide?,This guide appears to be a usage guide for some kind of vehicle
Is there a way to track the status of requests?,"Yes, according to the content, you can consult the advancement of your demands"
What is the reference number mentioned in the guide?,The reference number mentioned is '61'
What type of information does this guide provide?,This guide provides guidance on how to use a vehicle
Can you check the status of your requests in this guide?,"Yes, you can consult the advancement of your demands according to the guide"
What do you need to access your financing requests and their status?,"You need to access your profile, then click on 'Follow my requests'"
What information can you find in the 'Suivre mes demandes' interface?,"Each request contains the following informations: reference, offer, color, date of request, and status"
What is one of the options available in the 'Suivre mes demandes' interface?,One option is to click on 'Follow my requests'
What can you find out about each financing request?,"You can find the reference, offer, color, date of request, and status"
Where do you go to access your financing requests and their status?,You go to your profile
What is the first step to add a product to the cart?,Clicking on the icon of the cart in the product box
How do you initiate adding a product to the cart?,By clicking on the icon of the cart
What action do you take to put an item in the shopping cart?,Clicking on the icon of the cart
Where is the location of the button to add a product to the cart?,In the product box
How many steps are involved in adding a product to the cart?,One
What can you do when clicking 'visualiser le panier',You can visualize the cart
What happens when you click on 'confirmer',The process of adding a financing request begins
What is being stored in this guide?,A vehicle
What is the title of the guide?,Guide d'Utilisation
Is there a specific type of vehicle being stored?,No (no further information provided)
What is the number at the end of the guide title?,65
What kind of content is this guide for?,User utilization
What is the purpose of the provided guide?,It is a usage guide
What type of content is being described?,A vehicle guide
Is there any specific information about the guide?,"No, it only provides the title 'store' and '66'"
Is the guide related to a physical store?,"Yes, according to the title 'store'"
What is the significance of the number '66' in this context?,"It is unclear, but it may be a reference or code"
How can a client access their uploaded documents?,By accessing their profile and clicking on 'Mes documents'
What information is contained in the 'Mes documents' interface?,"The reference, offer, color, demand date, state, and action of each document"
How do you upload missing justificatifs?,By clicking on the document and uploading the files manually
What can be seen in the 'Mes documents' interface besides the information about each document?,The uploaded files already
Why is it necessary to access your profile before accessing your uploaded documents?,Because the client must have previously uploaded the justificatifs
What is the purpose of this guide?,store véhicule
What type of content is stored in this guide?,guide d'Utilisation
What section does the number 69 refer to?,Pour le panier
Is there any specific information about a vehicle stored in this guide?,store véhicule
What is the first main topic discussed in this guide?,guide d'Utilisation
What is the purpose of the 'Page mes demandes de financement'?,To visualize a request
What is the value displayed on the 'store véhicule' page?,70
What topic does the content relate to?,Vehicule
Is there a guide provided for usage?,Yes
What type of request can be visualized?,Financement
What is this guide for?,Utilisation
What is being stored in this guide?,Véhicule
Who to contact for,Chargé
What is this guide's purpose,Pour contacter un chargé
What can you find on page 71 of this guide?,nothing (assuming it's just a number)
"To add a meeting, what must the client do?",The client must access their profile and click on 'Ajouter RDV'
What information is required in the form to add a meeting?,"Heure de rendez-vous, Référence demande, Gouvernorat, Agence de contact, Adresse agence de contact"
How does one save a scheduled meeting?,By clicking on the 'Réserver maintenant' button
What is the purpose of the interface when adding a meeting?,To contain a form to be filled out with the above-mentioned fields
Where can one find the option to add a meeting?,On the 'Page mes RDV' page
What is the purpose of this guide?,store
What type of information does the guide contain?, véhicule
Is the guide related to a vehicle?,yes
What is the specific topic of the guide?,not specified
Is this a user manual or instruction guide?,store
What is required to follow appointments?,The client must access their private space and click on 'Suivre RDV'
What can be found in the calendar interface?,A list of the client's appointments
How many options are available for choosing a motif?,Four options
What is the maximum character limit for writing a message?,250 characters
What must the client do after writing a message?,Click on 'Envoyer' or 'Annuler'
What is the purpose of the Stock section in the guide?,To manage stock
What information can a concessionnaire see on the Tableau de Bord interface?,"The number of ongoing definitions, detailed statistics, and the number of unread notifications"
What is the purpose of the Box Voiture feature?,To direct to the interface for adding stock
Is there a section for Gestion de contenu in the guide?,Yes
What does the Déconnexion option allow you to do?,Disconnect
What is the first step to create a partner account?,"Lors de la création d'un compte partenaire, l'internaute passe par envoyer une demande de partenariat."
What menu option should you access to start creating a partner account?,'Devenir Partenaire' dans le menu en haut
What information is required in the partner account creation form?,"Des informations spécifiques, incluant le nom de la structure, l'adresse, le code postal, la ville, le site internet, les numéros de téléphones mobile et fixe, l'adresse email de contact, le numéro registre de commerce, le registre de commerce et une convention signée."
What is the next step after validating a partner account request?,L'utilisateur reçoit un e-mail contenant le mot de passe de son compte pour pouvoir se connecter
How does an internal user initially access their partner account?,"En appuyant sur le bouton 'Envoyer' l'internaute valide l'envoi de sa demande quiseraitée en back office, puis il reçoit un e-mail contenant le mot de passe de son compte pour pouvoir se connecter"
What can a concessionnaire access through the Mon Profil interface?,"Descriptive information about their profile, as well as information related to the company and responsible individual"
What type of information is available in the Descriptif de mon profil section?,Information about one's own profile
What other types of information can be found through Mon Profil?,Information related to the company and responsible individual
What is a concessionnaire able to consult in the Mon profil interface?,"Descriptif de mon profil, les informations relatives à la société, et les informations relatives au responsable"
In what section can a concessionnaire find their profile description?,Mon Profil
What are the allowed actions on the guide d'Utilisation store?,"Télécharger un nouvel objet de profil, Changer le mot de passe, Enregistrer les changements des autres champs du profil"
Can a concessionnaire add franchises and users?,Yes
What are the requirements for the franchise name on the guide d'Utilisation store?,"Alphabétique, minimum of 3 characters"
How many characters does the fax number require on the guide d'Utilisation store?,8
What is the format for the fiscal registration number on the guide d'Utilisation store?,7 chiffres + une lettre
What is the minimum number of characters required for a responsible person's name?,3
How many characters are required for a responsible person's first name?,at least 3
What is the specific character required in an email address for a responsible person?,@
How many digits does a mobile phone number of a responsible person require?,8
Where are new franchises added?,backoffice
What is the interface used to manage financing requests?,‘Mes financements'
What can be specified in a search for financing requests?,"lamarque, lemodèle, le prix, la date de la demande, l'email et l'état pour filtrer la liste des demandes"
What details are available for each financing request?,"La référence, la marque, le modèle, la définition, le client, l'état de la demande, la quantité, le montant de financement, Couleur et la date de la demande"
What can a concessionnaire find in the list of financing requests?,Les détails relatifs à chaque demande
What is the purpose of the ‘Mes financements’ interface?,Permettre aux partenaires de gérer les demandes venant des clients
When does the action button appear?,The action button appears when the dossier is validated in Back Office
What can a concessionnaire do after uploading the deed?,A concessionnaire can download the deed and change its price
Who can upload the deed?,The concessionnaire can upload the deed
What can be changed by a concessionnaire?,The concessionnaire can change the price of the deed
What can a concessionnaire download?,A concessionnaire can download the deed
What are the details listed in a dealership's guide to vehicle utilization?,"Lamarque, Lemodèle, Laversion, Leclient, L’étatdedevis, Lemontantdefinancement, Ladatededemande"
What is the purpose of the 'Devis' section in the guide?,To list and upload precise invoices with detailed information on each
Who can view the invoice after it has been uploaded?,The concessionnaire (dealership) allows authorized personnel to visualize the invoice
What are some examples of details that may be included in an invoice?,"Lamarque, Lemodèle, Laversion, Leclient, L’étatdedevis, Lemontantdefinancement"
How do dealerships typically handle requests for invoices?,By defining the invoicing process and providing a precise invoice upload date
What is the purpose of filtering in the guide?,"To launch a specific search by specifying the date, email and state"
What information can be found in the 'Gestion des finitions' section?,"Référence, Marque, Nom de définition, État and Cause de refus (en cas de refus)"
What is shown on the technical definition file,The file can be visualized with a button for action of visualization
What is the first step to launch a specific search?,"Launching a specific research by specifying the date, email and state"
What is the 'Gestion des finitions' section about?,The section allows the concessionnaire to view the list of definitions added
What is the purpose of filtering definitions in a vehicle guide?,Ilpeutaussifiltrerlalistedesfinitionsenprécisantlamarqueetlemodèle
How can concessionnaires add definition characteristics,Encliquantsurlebouton«AjouterFinition»
What kind of information is provided in the definition characteristics?,Caractéristiques
What types of data are included in the motorization and transmission section?,Motorisation
What additional details can be added to a vehicle definition?,"PerformanceetConsommation, Equipements"
What is the topic of this content?,A guide to vehicle usage
What is the page number or section relevant to this topic?,86
Is the content related to a specific type of vehicle?,"No, it does not specify a particular type of vehicle."
What is the primary purpose of the guide?,To provide information on how to use a vehicle
Is there any specific instruction or guidance provided in this content?,"No, it appears to be an index or table of contents rather than providing instructions."
What is the purpose of this guide?,It appears to be a usage guide for a vehicle.
What is stored in the guide?,The guide stores information related to vehicles.
Is there any specific topic mentioned in the guide?,"Yes, the guide is specifically about vehicle usage."
What type of item is being described in the guide?,A vehicle is being discussed in the guide.
Is there any numerical value mentioned in the guide?,"Yes, the number '87' is mentioned in the guide."
What is the purpose of the 'MON RECAPITULATIF' button?,To present a summary of the added definition characteristics
What are the required fields for adding a new definition?,All compulsory fields must be filled in
What happens after clicking the 'Enregistrer' button?,A pop-up window is displayed to confirm the successful addition of the definition
Is the added definition saved successfully?,"Yes, with a confirmation message 'Laversion a été ajoutée avec succès'"
